Last,First,Minutes,Seconds,Goals,Shots,AttackingGoals,AttackingShots,CenterGoals,CenterShots,DriveGoals,DriveShots,ExtraGoals,ExtraShots,PenaltyGoals,PenaltyShots,CounterGoals,CounterShots,FoulGoals,FoulShots,TO,ST,RB,BL,AS,SPWins,SPAttempts,CPEX,FPEX,DSEX,M6EX,CSEX,DBEX,PEX,EXPLUS,TotalEX,Team,Opponent,Result,FullTimeGoals,Ref1,Ref2,MatchNum,Tournament,GameNum,FullName
SAUDADIER,Remi,8.0,44.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,SAUDADIER R.
CROUSILLAT,Ugo,31.0,37.0,1.0,5.0,0.0,2.0,0.0,0.0,,,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,CROUSILLAT U.
BOUET,Alexandre,22.0,43.0,2.0,4.0,0.0,2.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,1.0,DNT,DNT,DNT,0.0,0.0,0,2,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,BOUET A.
KHASZ,Enzo,24.0,42.0,1.0,3.0,0.0,2.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,0.0,0.0,2.0,DNT,DNT,DNT,0.0,0.0,0,2,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,KHASZ E.
VERNOUX,Thomas,27.0,17.0,3.0,7.0,0.0,2.0,0.0,0.0,,,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,VERNOUX T.
MARION-VERNOUX,Romain,4.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,DNT,DNT,DNT,0.0,1.0,S,3,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,MARION-VERNOUX R.
BJORCH,Emil,14.0,56.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,DNT,DNT,DNT,0.0,0.0,0,2,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,BJORCH E.
MARZOUKI,Mehdi,4.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,DNT,DNT,DNT,0.0,0.0,S,3,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,MARZOUKI M.
BODEGAS,Michael,23.0,32.0,1.0,3.0,0.0,1.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,1.0,0,2,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,BODEGAS M.
VANPEPERSTRAETE,P.,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,DNT,DNT,DNT,0.0,0.0,0,1,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,VANPEPERSTRAETE P.
ZIVKOVIC,Duje,11.0,5.0,1.0,4.0,0.0,3.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,DNT,DNT,DNT,0.0,0.0,0,0,FRA,SRB,0.0,10.0,MARGETA,SEGURANA FERRE,27,EC2024,EC2024-27,ZIVKOVIC D.
